"","game_id","names","min_players","max_players","avg_time","min_time","max_time","year","geek_rating","num_votes","age","mechanic","owned","category1","category2","category3","category4","category5","category6","category7","category8","category9","category10","category11","category12","designer"
"1",17526,"Hecatomb",2,4,30,30,30,2005,5.70135,360,15,"Hand Management",748,"Card Game"," Collectible Components"," Horror",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mike Elliott, Jonathan Tweet"
"2",75333,"Target Earth",1,4,90,90,90,2010,5.75386,303,12,"Co-operative Play",508,"Science Fiction",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jacobo Cagigal"
"3",75333,"Target Earth",1,4,90,90,90,2010,5.75386,303,12,"Dice Rolling",508,"Science Fiction",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jacobo Cagigal"
"4",75333,"Target Earth",1,4,90,90,90,2010,5.75386,303,12,"Simulation",508,"Science Fiction",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jacobo Cagigal"
"5",27965,"The Tide at Sunrise: The Russo-Japanese War, 1904-1905",1,2,240,240,240,2010,5.74398,198,12,"Hex-and-Counter",692,"Post-Napoleonic"," Wargame",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yukihiro Kuroda, Adam Starkweather"
"6",191051,"Outlive",2,4,110,40,110,2017,6.68173,1688,14,"Area Movement",3082,"Science Fiction",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Grégory Oliver"
"7",191051,"Outlive",2,4,110,40,110,2017,6.68173,1688,14,"Set Collection",3082,"Science Fiction",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Grégory Oliver"
"8",191051,"Outlive",2,4,110,40,110,2017,6.68173,1688,14,"Variable Player Powers",3082,"Science Fiction",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Grégory Oliver"
"9",191051,"Outlive",2,4,110,40,110,2017,6.68173,1688,14,"Worker Placement",3082,"Science Fiction",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Grégory Oliver"
"10",141932,"The Agents",2,5,40,20,40,2013,5.96712,1357,8,"Hand Management",2930,"Card Game"," Spies/Secret Agents",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Saar Shai"
"11",192834,"Fight for Olympus",2,2,30,30,30,2016,5.96256,614,12,"Hand Management",1110,"Ancient"," Card Game"," Mythology",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Matthias Cramer"
"12",12350,"Battlestations",2,8,240,240,240,2004,6.19148,910,12,"Co-operative Play",1679,"Science Fiction",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jeff Siadek"
"13",12350,"Battlestations",2,8,240,240,240,2004,6.19148,910,12,"Dice Rolling",1679,"Science Fiction",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jeff Siadek"
"14",12350,"Battlestations",2,8,240,240,240,2004,6.19148,910,12,"Hex-and-Counter",1679,"Science Fiction",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jeff Siadek"
"15",12350,"Battlestations",2,8,240,240,240,2004,6.19148,910,12,"Role Playing",1679,"Science Fiction",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jeff Siadek"
"16",56931,"Arena: Roma II",2,2,45,30,45,2009,6.39268,1853,8,"Action Point Allowance System",2632,"Ancient"," Card Game"," Dice",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stefan Feld"
"17",56931,"Arena: Roma II",2,2,45,30,45,2009,6.39268,1853,8,"Card Drafting",2632,"Ancient"," Card Game"," Dice",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stefan Feld"
"18",56931,"Arena: Roma II",2,2,45,30,45,2009,6.39268,1853,8,"Dice Rolling",2632,"Ancient"," Card Game"," Dice",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stefan Feld"
"19",56931,"Arena: Roma II",2,2,45,30,45,2009,6.39268,1853,8,"Hand Management",2632,"Ancient"," Card Game"," Dice",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stefan Feld"
"20",80771,"Dungeon Raiders",3,5,60,20,60,2011,6.13961,1443,8,"Hand Management",2191,"Adventure"," Bluffing"," Card Game"," Exploration"," Fantasy"," Fighting",NA,NA,NA,NA,NA,NA,"Phil Walker-Harding"
"21",80771,"Dungeon Raiders",3,5,60,20,60,2011,6.13961,1443,8,"Player Elimination",2191,"Adventure"," Bluffing"," Card Game"," Exploration"," Fantasy"," Fighting",NA,NA,NA,NA,NA,NA,"Phil Walker-Harding"
"22",80771,"Dungeon Raiders",3,5,60,20,60,2011,6.13961,1443,8,"Simultaneous Action Selection",2191,"Adventure"," Bluffing"," Card Game"," Exploration"," Fantasy"," Fighting",NA,NA,NA,NA,NA,NA,"Phil Walker-Harding"
